xx,sepalgland_phytools,lam_blade_phytools,petiole_phytools,lateral_organ,petal,anther,style,pedicel,NWOW,calyx,laminar,floralnec,petal_binary,lam_blade_binary,petiole_binary,X.1
Banisteriopsis_padifolia,2,2,2,3,1,0,0,0,0,1,1,1,1,1,1,
Banisteriopsis_martiniana,2,3,0,1,1,1,0,0,0,1,1,1,1,1,0,
Banisteriopsis_scutellata,2,3,0,1,0,1,0,0,0,1,1,1,0,1,0,https://www.jstor.org/stable/i400088
Banisteriopsis_parviflora,2,3,0,1,0,1,0,0,0,1,1,1,0,1,0,https://www.jstor.org/stable/i400088
Banisteriopsis_basifixa,2,2,1,3,0,1,0,0,0,1,1,1,0,1,1,https://www.jstor.org/stable/i400088
Banisteriopsis_anisandra,2,0,2,2,0,1,0,0,0,1,1,1,0,0,1,
Banisteriopsis_nummifera,2,0,2,2,0,1,0,0,0,1,1,1,0,0,1,
Banisteriopsis_gardneriana,2,0,2,2,0,0,0,0,0,1,1,0,0,0,1,
Banisteriopsis_sellowiana,2,1,2,3,0,1,0,0,0,1,1,1,0,1,1,
Banisteriopsis_laevifolia,2,1,0,1,2,0,0,0,0,1,1,1,1,1,0,
Banisteriopsis_vernoniifolia,2,1,0,1,0,0,0,0,0,1,1,0,0,1,0,
Banisteriopsis_paraguariensis,2,1,0,1,1,0,0,0,0,1,1,1,1,1,0,
Banisteriopsis_argyrophylla,2,1,0,1,1,0,0,0,0,1,1,1,1,1,0,
Banisteriopsis_harleyi,2,2,0,1,2,0,0,0,0,1,1,1,1,1,0,
Banisteriopsis_schizoptera,2,1,0,1,2,1,0,0,0,1,1,1,1,1,0,
Banisteriopsis_stellaris,2,1,0,1,2,1,0,0,0,1,1,1,1,1,0,
Banisteriopsis_acerosa,2,1,0,1,1,0,0,0,0,1,1,1,1,1,0,
Banisteriopsis_caapi,2,1,2,3,1,1,0,0,0,1,1,1,1,1,1,
Banisteriopsis_schwannioides,2,1,0,1,1,1,0,0,0,1,1,1,1,1,0,
Banisteriopsis_megaphylla,2,1,0,1,1,1,0,0,0,1,1,1,1,1,0,
Banisteriopsis_confusa,2,1,0,1,1,1,0,0,0,1,1,1,1,1,0,
Banisteriopsis_latifolia,2,1,0,1,0,1,0,0,0,1,1,1,0,1,0,
Banisteriopsis_adenopoda,2,1,0,1,1,1,0,0,0,1,1,1,1,1,0,
Banisteriopsis_pulchra,2,1,2,3,1,1,0,0,0,1,1,1,1,1,1,
Banisteriopsis_goiana,2,1,0,1,1,1,0,0,0,1,1,1,1,1,0,
Banisteriopsis_muricata,2,1,2,3,1,1,0,0,0,1,1,1,1,1,1,
Banisteriopsis_calcicola,2,1,0,1,1,1,0,0,0,1,1,1,1,1,0,
Banisteriopsis_campestris,2,1,0,1,1,1,0,0,0,1,1,1,1,1,0,
Banisteriopsis_angustifolia,2,1,0,1,1,1,0,0,0,1,1,1,1,1,0,
